"","JV","season","Var3","breeding_biome","conservation_status","estimate_type"
"142","PBHJV","breeding","all-birds","coast","JV_priority_species","normalizedrelative abundance"
"143","CIJV","breeding","all-birds","wetlands","JV_priority_species","normalizedrelative abundance"
"144","PBHJV","breeding","all-birds","wetlands","JV_priority_species","normalizedrelative abundance"
"145","CIJV","breeding","all-birds","grassland","all-status","max relative abundance"
"146","PBHJV","breeding","all-birds","grassland","all-status","max relative abundance"
"147","CIJV","breeding","all-birds","boreal_forest","all-status","max relative abundance"
"148","PBHJV","breeding","all-birds","boreal_forest","all-status","max relative abundance"
"149","CIJV","breeding","all-birds","forest_generalist","all-status","max relative abundance"
"150","PBHJV","breeding","all-birds","forest_generalist","all-status","max relative abundance"
"151","CIJV","breeding","all-birds","habitat_generalist","all-status","max relative abundance"
"152","PBHJV","breeding","all-birds","habitat_generalist","all-status","max relative abundance"
"153","CIJV","breeding","all-birds","western_forest","all-status","max relative abundance"
"154","PBHJV","breeding","all-birds","western_forest","all-status","max relative abundance"
"155","CIJV","breeding","all-birds","artic_tundra","all-status","max relative abundance"
"156","PBHJV","breeding","all-birds","artic_tundra","all-status","max relative abundance"
"157","CIJV","breeding","all-birds","coast","all-status","max relative abundance"
"158","PBHJV","breeding","all-birds","coast","all-status","max relative abundance"
"159","CIJV","breeding","all-birds","wetlands","all-status","max relative abundance"
"160","PBHJV","breeding","all-birds","wetlands","all-status","max relative abundance"
"161","CIJV","breeding","all-birds","grassland","SAR","max relative abundance"
"162","PBHJV","breeding","all-birds","grassland","SAR","max relative abundance"
"163","CIJV","breeding","all-birds","boreal_forest","SAR","max relative abundance"
"164","PBHJV","breeding","all-birds","boreal_forest","SAR","max relative abundance"
"165","CIJV","breeding","all-birds","forest_generalist","SAR","max relative abundance"
"166","PBHJV","breeding","all-birds","forest_generalist","SAR","max relative abundance"
"167","CIJV","breeding","all-birds","habitat_generalist","SAR","max relative abundance"
"168","PBHJV","breeding","all-birds","habitat_generalist","SAR","max relative abundance"
"169","CIJV","breeding","all-birds","western_forest","SAR","max relative abundance"
"170","PBHJV","breeding","all-birds","western_forest","SAR","max relative abundance"
"171","CIJV","breeding","all-birds","artic_tundra","SAR","max relative abundance"
"172","PBHJV","breeding","all-birds","artic_tundra","SAR","max relative abundance"
"173","CIJV","breeding","all-birds","coast","SAR","max relative abundance"
"174","PBHJV","breeding","all-birds","coast","SAR","max relative abundance"
"175","CIJV","breeding","all-birds","wetlands","SAR","max relative abundance"
"176","PBHJV","breeding","all-birds","wetlands","SAR","max relative abundance"
"177","CIJV","breeding","all-birds","grassland","JV_priority_species","max relative abundance"
"178","PBHJV","breeding","all-birds","grassland","JV_priority_species","max relative abundance"
"179","CIJV","breeding","all-birds","boreal_forest","JV_priority_species","max relative abundance"
"180","PBHJV","breeding","all-birds","boreal_forest","JV_priority_species","max relative abundance"
"181","CIJV","breeding","all-birds","forest_generalist","JV_priority_species","max relative abundance"
"182","PBHJV","breeding","all-birds","forest_generalist","JV_priority_species","max relative abundance"
"183","CIJV","breeding","all-birds","habitat_generalist","JV_priority_species","max relative abundance"
"184","PBHJV","breeding","all-birds","habitat_generalist","JV_priority_species","max relative abundance"
"185","CIJV","breeding","all-birds","western_forest","JV_priority_species","max relative abundance"
"186","PBHJV","breeding","all-birds","western_forest","JV_priority_species","max relative abundance"
"187","CIJV","breeding","all-birds","artic_tundra","JV_priority_species","max relative abundance"
"188","PBHJV","breeding","all-birds","artic_tundra","JV_priority_species","max relative abundance"
"189","CIJV","breeding","all-birds","coast","JV_priority_species","max relative abundance"
"190","PBHJV","breeding","all-birds","coast","JV_priority_species","max relative abundance"
"191","CIJV","breeding","all-birds","wetlands","JV_priority_species","max relative abundance"
"192","PBHJV","breeding","all-birds","wetlands","JV_priority_species","max relative abundance"
